format,count
4°,2
2°,10
2°,5
other,0
4°,1
other,1
other,4
other,4
other,4
other,0
other,0
8°,1
8°,16
8°,14
8°,3
other,0
8°,0
8°,2
8°,13
8°,2
8°,5
8°,2
8°,1
8°,1
other,0
8°,5
8°,3
8°,1
8°,2
other,0
other,0
4°,23
8°,1
8°,11
8°,2
8°,4
8°,1
8°,15
8°,3
8°,0
other,0
8°,5
other,0
8°,0
2°,3
8°,8
8°,9
8°,11
8°,1
8°,1
8°,1
8°,2
other,0
other,0
8°,0
8°,2
8°,2
other,3
other,2
other,0
8°,1
4°,12
8°,1
8°,4
4°,20
8°,3
8°,12
other,0
8°,0
4°,23
8°,14
8°,1
8°,3
2°,1
8°,2
8°,1
8°,5
8°,1
8°,3
other,0
8°,5
8°,1
8°,1
4°,9
8°,4
8°,3
other,0
other,0
8°,0
other,0
8°,1
8°,1
8°,1
8°,1
8°,3
8°,2
other,7
8°,1
other,0
8°,1
8°,1
8°,2
other,0
4°,4
8°,1
other,0
4°,6
other,0
other,2
8°,2
other,0
4°,15
2°,3
8°,2
8°,2
8°,4
4°,2
other,0
4°,1
4°,1
4°,1
other,0
4°,2
other,0
4°,1
8°,2
4°,2
4°,7
8°,1
8°,2
8°,2
8°,1
other,0
4°,0
8°,11
4°,0
4°,1
2°,9
4°,3
other,1
4°,1
8°,1
4°,2
2°,6
8°,1
other,9
4°,3
4°,1
4°,6
8°,1
8°,2
8°,1
4°,27
8°,4
4°,14
8°,1
other,0
1°,1
2°,2
8°,1
8°,1
other,0
4°,13
other,0
4°,15
8°,5
8°,2
8°,3
4°,1
8°,5
8°,8
8°,1
2°,2
2°,12
other,0
2°,16
4°,12
2°,30
8°,1
4°,1
4°,1
4°,9
other,5
other,0
8°,1
8°,3
8°,0
8°,6
4°,2
8°,2
4°,1
8°,2
2°,3
8°,1
4°,3
other,0
4°,6
4°,6
other,0
4°,11
4°,5
4°,5
4°,1
other,0
8°,1
other,0
other,0
2°,3
other,0
other,1
other,1
other,0
4°,4
4°,3
4°,10
4°,11
4°,1
4°,21
4°,3
4°,13
4°,11
4°,4
4°,15
4°,5
4°,30
2°,10
4°,16
other,0
4°,21
4°,1
other,1
other,3
8°,2
other,0
4°,3
4°,1
other,0
other,1
other,0
2°,11
4°,20
4°,0
8°,10
other,2
4°,1
4°,3
4°,1
other,0
4°,2
other,1
4°,2
4°,8
4°,1
other,1
other,0
other,0
8°,6
4°,6
4°,6
4°,8
8°,1
other,0
other,1
other,0
4°,1
8°,7
8°,2
4°,2
4°,1
4°,1
4°,1
4°,2
4°,1
4°,1
other,0
4°,1
4°,14
4°,1
other,0
4°,4
4°,41
other,0
4°,1
4°,0
4°,1
4°,1
4°,1
8°,1
8°,1
4°,0
4°,41
8°,1
8°,1
other,0
4°,2
8°,1
4°,0
4°,0
4°,10
other,1
other,1
other,1
other,0
other,0
4°,19
4°,24
2°,1
4°,1
other,1
other,1
other,1
other,0
other,0
4°,1
4°,0
4°,2
4°,1
other,0
4°,2
4°,1
4°,1
4°,1
4°,10
4°,13
4°,2
4°,1
4°,2
4°,20
4°,2
4°,3
2°,7
4°,17
2°,5
4°,7
4°,1
2°,46
other,1
other,0
other,19
other,2
other,6
other,0
4°,2
4°,2
4°,4
8°,1
4°,1
1°,1
other,0
2°,0
8°,1
4°,2
2°,2
8°,1
other,0
4°,1
4°,1
4°,0
4°,1
4°,3
4°,3
4°,3
4°,3
4°,3
4°,4
4°,3
other,0
other,0
4°,2
4°,1
8°,2
8°,2
other,0
other,0
8°,2
8°,5
other,0
other,0
4°,1
other,1
4°,1
8°,9
8°,2
4°,3
2°,6
other,1
other,1
2°,2
other,0
8°,0
4°,20
4°,2
4°,1
4°,1
4°,2
4°,44
other,0
4°,0
4°,1
4°,6
4°,1
other,1
8°,1
other,0
other,6
2°,5
4°,2
4°,4
other,1
4°,6
4°,10
4°,2
8°,3
2°,4
4°,2
4°,3
4°,2
4°,2
other,0
4°,0
8°,2
other,0
4°,1
8°,33
other,1
1°,1
8°,1
8°,1
other,5
other,0
4°,0
other,1
4°,9
4°,1
other,0
other,4
8°,7
other,0
4°,1
other,0
4°,7
4°,2
4°,3
4°,2
4°,1
4°,2
8°,1
4°,3
4°,4
4°,1
8°,1
8°,3
other,0
8°,12
4°,57
other,0
8°,3
4°,18
2°,16
other,0
8°,1
4°,1
2°,13
8°,6
4°,1
4°,1
other,2
8°,2
8°,1
8°,1
4°,6
4°,1
4°,2
4°,3
4°,1
other,0
8°,5
4°,2
other,2
4°,1
other,1
2°,3
4°,2
4°,2
4°,1
8°,2
4°,1
4°,1
4°,1
other,1
4°,1
4°,1
4°,2
4°,1
4°,1
4°,10
other,0
4°,1
other,0
8°,1
8°,1
other,1
2°,7
other,4
8°,2
2°,4
4°,44
other,36
4°,22
other,0
4°,1
8°,1
4°,12
2°,2
1°,3
8°,3
other,1
4°,1
8°,2
8°,0
8°,1
4°,2
other,7
4°,13
other,1
2°,38
other,1
other,0
4°,5
4°,1
4°,11
4°,5
other,0
2°,71
other,0
other,0
4°,14
4°,14
4°,19
8°,6
8°,2
other,1
8°,15
4°,0
other,0
4°,5
other,0
other,1
8°,3
other,2
8°,0
8°,16
8°,1
4°,7
other,0
other,0
8°,1
4°,7
8°,5
other,0
4°,4
other,0
8°,25
other,0
8°,1
4°,2
4°,1
4°,1
4°,1
4°,25
4°,2
4°,2
other,0
2°,1
8°,1
4°,4
4°,1
other,0
4°,1
4°,1
4°,3
4°,1
other,0
other,0
4°,1
other,0
4°,8
other,0
8°,1
4°,1
other,3
other,0
4°,2
4°,1
4°,2
4°,19
4°,1
other,2
8°,2
other,0
4°,3
other,2
8°,2
4°,4
4°,4
8°,3
4°,30
other,0
other,1
other,1
other,5
2°,1
4°,2
8°,3
4°,2
8°,1
4°,1
other,2
other,1
4°,44
4°,45
2°,4
8°,0
8°,5
4°,1
4°,1
2°,1
8°,1
other,0
8°,1
4°,1
other,4
8°,1
other,2
8°,1
other,0
other,0
2°,67
8°,3
4°,2
8°,2
8°,2
4°,6
8°,3
8°,1
4°,1
4°,3
4°,3
8°,1
4°,2
8°,10
4°,1
4°,0
8°,1
other,0
8°,5
8°,10
2°,1
2°,1
4°,2
other,3
8°,12
8°,1
8°,2
4°,1
other,1
8°,1
other,0
4°,3
4°,3
4°,1
4°,5
4°,6
other,0
other,0
4°,4
8°,3
4°,2
4°,1
other,0
other,0
other,0
other,1
other,1
8°,2
other,0
8°,1
other,0
other,0
8°,2
8°,4
other,8
2°,1
other,1
2°,1
8°,6
other,0
8°,5
8°,10
4°,3
4°,1
8°,9
other,2
4°,1
other,1
8°,3
4°,49
other,1
4°,1
other,0
4°,1
other,0
8°,9
8°,1
other,2
8°,6
other,3
other,3
2°,1
4°,1
8°,2
8°,2
8°,1
8°,6
4°,1
8°,1
8°,3
other,0
8°,2
other,0
other,0
other,0
other,0
8°,4
8°,1
4°,1
other,0
8°,2
other,0
8°,1
8°,3
4°,2
other,1
other,0
8°,8
8°,1
4°,6
other,0
8°,2
8°,6
4°,11
other,1
other,1
other,1
other,0
other,0
other,0
8°,6
4°,2
other,5
2°,26
4°,2
4°,1
8°,1
4°,1
4°,2
4°,2
4°,4
4°,29
other,0
other,1
other,1
8°,1
4°,2
8°,6
4°,2
8°,1
4°,2
4°,15
8°,7
4°,1
4°,10
8°,1
4°,2
4°,1
4°,2
8°,1
8°,0
other,0
other,0
8°,4
8°,1
other,0
4°,2
other,1
4°,2
4°,22
other,0
other,5
other,0
other,0
other,3
other,1
8°,3
other,16
4°,1
4°,3
8°,1
4°,2
4°,1
4°,3
4°,1
4°,3
4°,4
4°,1
4°,3
8°,5
4°,14
other,0
4°,14
other,2
other,2
8°,1
8°,2
4°,60
8°,2
8°,5
other,1
8°,1
8°,1
other,0
4°,3
4°,1
4°,1
4°,1
8°,44
4°,6
other,1
4°,2
4°,1
4°,1
8°,5
4°,1
4°,10
other,0
other,0
8°,0
other,1
other,2
other,4
other,0
4°,4
4°,3
8°,1
other,5
8°,5
2°,1
4°,12
other,0
other,0
8°,7
other,1
8°,1
other,0
4°,21
other,1
8°,3
4°,1
other,0
other,0
4°,11
4°,17
other,0
8°,2
4°,1
other,0
8°,0
4°,2
other,0
1°,2
4°,1
other,1
4°,1
other,2
4°,1
8°,1
4°,15
other,0
4°,5
8°,3
other,0
2°,1
other,6
4°,22
other,0
4°,4
other,1
4°,3
4°,13
8°,4
8°,6
4°,14
4°,0
other,2
4°,7
4°,4
8°,1
4°,2
4°,3
4°,2
4°,3
4°,1
8°,1
other,0
other,0
other,1
other,0
4°,1
4°,2
4°,1
other,0
8°,1
4°,1
4°,2
2°,1
4°,1
other,0
other,1
other,0
other,1
4°,2
other,0
other,0
8°,2
other,2
other,1
other,0
4°,1
2°,0
4°,1
4°,3
4°,1
4°,1
other,1
8°,8
4°,1
other,0
other,1
other,1
4°,1
4°,7
4°,1
other,0
other,0
8°,5
other,0
other,2
4°,4
other,3
other,0
other,4
other,0
other,0
8°,1
other,2
4°,7
8°,1
8°,2
4°,2
4°,4
4°,13
other,0
other,0
4°,18
other,7
4°,8
other,4
other,1
4°,3
4°,2
other,0
4°,14
8°,4
4°,3
other,0
other,0
4°,1
other,0
4°,44
8°,1
other,0
4°,5
8°,4
other,2
other,5
other,0
other,0
8°,1
4°,2
4°,11
4°,9
8°,1
other,2
8°,4
8°,12
other,7
8°,1
8°,1
other,2
4°,11
4°,1
other,0
8°,1
4°,25
2°,1
other,2
other,11
2°,1
4°,1
8°,5
other,0
4°,3
8°,2
other,1
4°,2
4°,4
8°,4
8°,6
other,0
8°,4
2°,6
2°,63
other,0
other,2
other,0
other,0
8°,2
8°,2
8°,2
other,0
8°,1
other,0
4°,8
4°,5
other,1
8°,2
4°,0
other,4
4°,2
8°,10
other,3
8°,2
4°,0
other,1
other,4
4°,1
4°,1
8°,6
8°,3
4°,12
4°,7
other,2
4°,1
1°,1
8°,1
other,9
8°,19
other,2
other,6
other,2
4°,1
8°,3
8°,22
4°,1
other,0
4°,7
8°,8
other,0
4°,25
8°,6
other,3
other,0
4°,1
8°,1
8°,1
4°,1
other,2
1°,0
8°,17
4°,15
other,5
8°,6
8°,7
8°,8
other,0
other,0
other,0
4°,12
other,0
4°,1
8°,1
8°,5
other,0
8°,1
2°,1
other,0
4°,2
other,6
8°,3
4°,2
1°,1
4°,1
other,5
2°,1
8°,11
other,0
other,0
8°,9
4°,1
4°,0
other,0
4°,2
4°,8
8°,1
4°,3
8°,30
4°,1
other,0
other,5
4°,1
4°,2
8°,1
other,1
4°,1
other,0
4°,11
2°,3
8°,0
4°,26
other,0
8°,1
8°,1
8°,1
2°,13
4°,29
8°,0
8°,0
other,0
8°,1
4°,1
other,1
4°,1
other,3
4°,2
4°,1
4°,1
2°,8
8°,1
8°,1
4°,1
4°,1
other,3
8°,8
4°,1
4°,2
other,8
4°,1
8°,1
4°,27
other,0
8°,2
other,2
1°,1
8°,2
other,0
other,0
4°,2
4°,1
8°,1
other,0
4°,32
8°,12
2°,6
2°,2
2°,0
other,0
4°,2
other,0
8°,1
4°,1
other,0
other,0
8°,13
4°,2
4°,3
4°,1
4°,4
4°,1
4°,1
8°,2
other,0
4°,23
4°,1
8°,1
4°,1
4°,1
2°,1
2°,3
other,0
8°,14
other,2
4°,1
4°,1
4°,1
4°,1
other,1
other,1
4°,1
4°,1
4°,3
4°,1
8°,1
other,4
2°,1
other,1
2°,1
4°,7
other,0
4°,8
8°,0
8°,0
other,0
2°,71
other,2
8°,3
other,2
8°,6
8°,10
8°,9
8°,1
other,1
8°,1
2°,1
4°,30
4°,30
other,1
2°,3
4°,1
4°,2
other,0
8°,1
1°,3
other,0
other,2
other,1
8°,6
other,0
8°,1
4°,2
4°,1
4°,3
other,4
other,1
2°,3
other,4
other,0
4°,3
4°,1
8°,13
other,0
other,0
4°,1
4°,1
4°,1
other,0
8°,3
other,1
4°,8
8°,2
8°,3
4°,27
8°,10
8°,1
4°,2
2°,1
other,0
4°,6
other,4
2°,4
2°,7
4°,1
4°,2
4°,5
4°,1
other,0
4°,2
4°,11
4°,2
4°,4
other,0
other,0
other,1
other,3
other,0
other,7
other,0
8°,0
other,0
4°,22
other,1
2°,1
4°,1
4°,1
2°,2
2°,1
8°,1
other,0
8°,1
other,1
other,0
other,0
4°,3
other,0
other,0
8°,2
2°,58
4°,5
other,0
4°,11
other,2
4°,1
2°,1
other,0
other,0
other,0
2°,1
8°,1
other,0
4°,1
2°,1
4°,2
other,1
4°,0
4°,23
8°,1
8°,1
other,0
8°,1
other,13
4°,20
4°,1
2°,1
4°,1
other,0
other,0
4°,3
4°,1
4°,1
4°,1
other,0
other,1
other,6
other,4
4°,1
other,1
4°,2
other,0
4°,1
other,0
1°,1
4°,67
other,0
other,0
8°,1
other,1
other,3
other,2
other,0
8°,1
other,0
other,0
other,0
4°,0
2°,2
2°,5
2°,3
2°,2
4°,0
8°,9
4°,1
4°,0
4°,1
4°,1
other,0
4°,1
4°,1
other,1
2°,1
other,1
other,0
4°,1
4°,1
other,0
4°,1
4°,54
8°,4
4°,37
other,0
1°,1
other,1
2°,1
other,4
other,1
8°,4
other,2
other,0
4°,0
8°,1
4°,3
2°,3
other,0
4°,1
4°,2
4°,1
other,2
other,0
2°,1
8°,1
4°,1
2°,120
2°,102
4°,1
4°,6
8°,5
4°,1
other,0
other,0
other,0
other,1
other,0
4°,20
4°,26
other,0
4°,1
8°,16
other,2
other,1
other,1
other,1
8°,0
2°,4
other,1
other,3
other,7
4°,16
4°,3
4°,3
other,0
4°,1
4°,2
4°,1
other,4
8°,5
other,0
other,4
other,3
other,0
4°,1
8°,1
4°,1
4°,1
other,0
other,1
other,0
other,1
other,0
other,2
other,0
4°,12
8°,11
8°,6
2°,4
2°,1
2°,2
4°,13
other,0
other,2
other,0
other,0
4°,1
other,0
8°,1
8°,1
8°,8
other,5
other,1
8°,3
8°,4
2°,4
other,1
4°,17
other,0
4°,3
8°,6
8°,1
other,2
other,5
4°,1
other,2
other,0
other,0
8°,5
4°,3
other,1
4°,1
4°,3
other,0
other,0
4°,17
8°,5
other,2
8°,11
other,2
8°,2
8°,6
8°,10
8°,1
2°,5
8°,2
8°,1
8°,1
other,1
other,1
4°,2
4°,2
other,0
other,1
2°,1
4°,2
other,1
other,0
4°,2
other,0
4°,2
4°,1
4°,20
other,2
other,0
2°,1
8°,4
4°,1
8°,20
other,1
other,0
other,7
other,3
2°,3
2°,2
2°,15
4°,2
other,0
other,1
4°,3
other,0
other,0
other,2
other,0
other,0
other,0
4°,40
8°,5
other,0
other,0
8°,1
2°,66
other,0
other,0
other,0
other,0
4°,1
2°,0
other,0
other,4
other,18
other,1
2°,6
4°,18
