nyelv,count
latin,2
latin,10
latin,5
latin,1
latin,1
latin,4
german,4
latin,16
latin,14
latin,3
latin,2
latin,13
latin,5
latin,2
hungarian,1
latin,3
latin,1
hungarian,23
latin,11
latin,4
german,1
latin,15
latin,3
latin,5
german,8
german,9
latin,11
latin,1
latin,1
latin,1
german,2
latin,2
hungarian,3
latin,2
hungarian,1
latin,12
hungarian,1
latin,4
hungarian,20
hungarian,3
hungarian,12
hungarian,23
hungarian,14
latin,1
hungarian,3
hungarian,2
hungarian,1
hungarian,5
latin,1
latin,3
latin,5
latin,1
latin,1
hungarian,9
latin,4
german,1
latin,1
latin,1
latin,3
latin,2
latin,7
hungarian,1
latin,1
latin,2
latin,4
german,1
latin,6
hungarian,2
latin,2
latin,2
latin,2
latin,4
latin,2
latin,1
latin,1
latin,1
latin,2
hungarian,1
latin,2
latin,2
hungarian,7
hungarian,1
latin,2
hungarian,2
latin,1
hungarian,11
hungarian,3
hungarian,1
hungarian,1
hungarian,1
hungarian,2
latin,1
latin,9
latin,3
hungarian,1
hungarian,6
hungarian,1
hungarian,2
hungarian,1
hungarian,27
latin,4
latin,14
latin,1
latin,1
hungarian,2
hungarian,1
hungarian,1
hungarian,13
hungarian,15
latin,5
latin,2
latin,3
latin,1
latin,5
latin,8
latin,1
hungarian,12
latin,16
hungarian,12
latin,30
latin,1
latin,1
latin,1
hungarian,9
latin,1
latin,3
hungarian,6
hungarian,2
latin,2
hungarian,1
latin,2
latin,3
latin,6
hungarian,6
latin,11
hungarian,5
hungarian,5
latin,1
latin,1
hungarian,4
hungarian,3
latin,10
latin,11
hungarian,1
latin,21
latin,3
latin,13
latin,11
latin,4
latin,15
hungarian,5
latin,30
hungarian,10
latin,16
hungarian,21
hungarian,1
hungarian,3
hungarian,1
hungarian,1
hungarian,11
latin,20
latin,10
hungarian,2
hungarian,1
hungarian,2
hungarian,1
latin,2
hungarian,8
hungarian,1
hungarian,1
hungarian,6
latin,6
hungarian,6
latin,8
hungarian,1
hungarian,1
hungarian,1
latin,7
german,2
hungarian,2
hungarian,1
hungarian,1
hungarian,1
hungarian,2
latin,1
hungarian,1
hungarian,1
hungarian,14
latin,1
latin,4
hungarian,41
hungarian,1
hungarian,1
hungarian,1
hungarian,1
latin,41
hungarian,1
hungarian,1
hungarian,2
hungarian,1
hungarian,10
hungarian,1
hungarian,1
hungarian,1
hungarian,19
hungarian,24
hungarian,1
hungarian,1
hungarian,1
hungarian,1
hungarian,2
hungarian,1
hungarian,2
hungarian,1
hungarian,1
hungarian,1
hungarian,10
hungarian,13
hungarian,2
hungarian,1
hungarian,2
hungarian,20
hungarian,2
hungarian,3
hungarian,17
hungarian,7
hungarian,1
hungarian,46
hungarian,1
hungarian,19
latin,2
hungarian,6
hungarian,2
hungarian,4
german,1
hungarian,1
latin,1
latin,1
hungarian,1
hungarian,1
hungarian,1
hungarian,1
hungarian,3
hungarian,3
hungarian,3
hungarian,3
hungarian,3
hungarian,4
hungarian,3
hungarian,2
latin,1
hungarian,2
hungarian,2
latin,2
latin,5
latin,1
latin,1
latin,1
latin,9
latin,2
latin,3
hungarian,1
hungarian,1
hungarian,20
hungarian,2
hungarian,1
hungarian,1
latin,2
hungarian,44
hungarian,1
hungarian,6
latin,1
hungarian,1
german,1
hungarian,6
hungarian,2
hungarian,4
hungarian,1
hungarian,6
hungarian,10
hungarian,2
hungarian,3
hungarian,2
hungarian,3
hungarian,2
hungarian,2
hungarian,2
hungarian,1
latin,33
hungarian,1
latin,1
latin,1
german,1
hungarian,5
hungarian,1
hungarian,9
hungarian,1
hungarian,4
latin,7
hungarian,1
hungarian,7
hungarian,2
hungarian,3
hungarian,2
hungarian,1
hungarian,2
latin,1
hungarian,3
hungarian,4
latin,1
latin,1
latin,12
hungarian,57
hungarian,3
hungarian,18
latin,1
latin,6
hungarian,1
hungarian,1
hungarian,2
hungarian,2
latin,1
latin,1
hungarian,6
latin,1
hungarian,2
hungarian,3
hungarian,1
hungarian,5
latin,2
hungarian,2
hungarian,1
hungarian,1
hungarian,3
hungarian,2
hungarian,2
hungarian,1
hungarian,2
hungarian,1
hungarian,1
hungarian,1
hungarian,1
hungarian,1
hungarian,1
hungarian,2
hungarian,1
hungarian,1
hungarian,10
hungarian,1
hungarian,1
hungarian,1
latin,1
hungarian,4
latin,2
german,44
latin,36
hungarian,22
hungarian,1
latin,1
latin,2
latin,3
hungarian,3
hungarian,1
latin,1
latin,2
german,2
german,7
hungarian,13
hungarian,1
hungarian,38
hungarian,1
latin,5
latin,1
latin,11
latin,5
latin,71
hungarian,14
hungarian,14
hungarian,19
latin,6
latin,2
latin,1
hungarian,15
hungarian,5
latin,1
latin,3
hungarian,2
latin,16
latin,1
latin,7
latin,1
hungarian,7
latin,5
german,4
latin,25
german,1
hungarian,1
latin,1
hungarian,25
hungarian,2
latin,1
hungarian,1
german,4
hungarian,1
hungarian,1
hungarian,1
hungarian,3
latin,1
german,1
german,8
hungarian,1
hungarian,1
hungarian,3
hungarian,1
hungarian,2
hungarian,19
hungarian,1
latin,2
latin,2
hungarian,3
latin,2
latin,2
hungarian,4
latin,4
hungarian,3
hungarian,30
latin,1
hungarian,1
hungarian,5
latin,1
hungarian,2
latin,3
hungarian,2
latin,1
latin,1
hungarian,2
hungarian,1
hungarian,44
hungarian,45
hungarian,4
latin,5
hungarian,1
hungarian,1
latin,1
latin,1
hungarian,1
hungarian,4
german,1
hungarian,2
hungarian,1
hungarian,67
latin,3
german,2
hungarian,2
latin,6
latin,3
hungarian,1
hungarian,3
hungarian,3
latin,1
hungarian,2
hungarian,10
hungarian,1
hungarian,1
hungarian,5
hungarian,10
latin,1
latin,1
latin,2
hungarian,3
latin,12
hungarian,2
hungarian,1
hungarian,1
hungarian,1
hungarian,3
hungarian,3
hungarian,1
hungarian,5
hungarian,6
hungarian,4
hungarian,2
hungarian,1
hungarian,1
hungarian,1
hungarian,2
hungarian,2
hungarian,4
german,8
latin,1
latin,1
latin,1
latin,6
latin,5
latin,10
hungarian,3
latin,1
latin,9
hungarian,2
latin,1
hungarian,1
latin,49
hungarian,1
latin,1
latin,1
latin,9
hungarian,1
hungarian,2
hungarian,6
hungarian,3
hungarian,3
latin,1
german,2
german,2
german,1
hungarian,6
latin,1
german,1
hungarian,3
latin,2
hungarian,4
german,1
latin,1
latin,2
latin,1
latin,3
latin,2
latin,1
latin,8
latin,1
latin,6
hungarian,2
hungarian,6
hungarian,11
german,1
german,1
latin,1
latin,6
german,2
latin,5
latin,26
hungarian,2
hungarian,1
hungarian,1
hungarian,2
hungarian,2
latin,4
hungarian,1
hungarian,1
hungarian,1
hungarian,2
hungarian,6
hungarian,2
latin,1
latin,2
latin,15
latin,7
hungarian,1
hungarian,10
latin,1
latin,2
hungarian,1
latin,2
hungarian,1
latin,1
hungarian,2
latin,1
hungarian,2
latin,22
hungarian,5
hungarian,1
latin,3
latin,1
latin,3
latin,1
latin,2
hungarian,1
latin,3
latin,1
latin,3
latin,4
latin,1
hungarian,3
latin,5
hungarian,14
hungarian,14
hungarian,2
hungarian,2
hungarian,1
hungarian,2
hungarian,60
hungarian,2
hungarian,5
hungarian,1
hungarian,1
hungarian,3
latin,1
latin,1
latin,1
latin,44
latin,6
hungarian,1
latin,2
german,1
hungarian,1
latin,5
german,1
latin,10
german,1
hungarian,4
hungarian,3
latin,1
hungarian,5
hungarian,5
latin,1
latin,12
hungarian,7
german,1
latin,1
hungarian,21
latin,1
hungarian,3
latin,1
hungarian,11
hungarian,17
latin,2
latin,1
hungarian,2
hungarian,2
latin,1
hungarian,1
latin,1
hungarian,2
hungarian,1
latin,1
hungarian,15
hungarian,5
latin,1
hungarian,6
hungarian,22
latin,4
hungarian,1
hungarian,3
hungarian,13
hungarian,4
hungarian,6
hungarian,14
hungarian,2
hungarian,7
latin,4
hungarian,1
hungarian,2
hungarian,3
hungarian,2
hungarian,3
hungarian,1
hungarian,1
hungarian,1
hungarian,1
hungarian,2
hungarian,1
hungarian,1
latin,1
latin,2
hungarian,1
german,1
hungarian,1
latin,2
hungarian,2
german,2
hungarian,1
hungarian,1
hungarian,1
hungarian,3
hungarian,1
hungarian,1
hungarian,1
latin,8
hungarian,1
german,1
hungarian,1
hungarian,7
latin,1
hungarian,5
hungarian,2
latin,4
hungarian,3
hungarian,4
hungarian,2
hungarian,7
hungarian,1
hungarian,2
latin,2
latin,4
latin,13
hungarian,18
hungarian,7
latin,8
hungarian,4
hungarian,1
latin,3
hungarian,2
latin,14
hungarian,4
hungarian,3
latin,1
german,1
latin,5
latin,4
hungarian,2
hungarian,5
latin,2
latin,11
latin,9
hungarian,1
german,2
latin,4
hungarian,12
hungarian,7
latin,1
latin,1
hungarian,2
latin,11
latin,1
hungarian,1
latin,25
latin,1
hungarian,2
german,11
hungarian,1
hungarian,1
latin,5
hungarian,3
latin,2
hungarian,1
latin,2
latin,4
hungarian,6
hungarian,4
hungarian,6
hungarian,63
hungarian,2
latin,2
latin,2
hungarian,1
hungarian,8
latin,5
latin,1
hungarian,2
hungarian,4
hungarian,2
hungarian,10
hungarian,3
hungarian,2
hungarian,1
german,4
latin,1
latin,1
hungarian,6
hungarian,3
hungarian,12
latin,7
hungarian,2
hungarian,1
latin,1
hungarian,9
hungarian,19
latin,2
hungarian,6
hungarian,2
hungarian,1
hungarian,3
latin,1
latin,7
hungarian,8
hungarian,25
latin,6
latin,3
latin,1
german,1
german,1
latin,1
hungarian,2
hungarian,17
hungarian,15
hungarian,5
latin,6
latin,7
hungarian,8
latin,12
latin,1
hungarian,1
hungarian,5
german,1
latin,1
hungarian,2
hungarian,6
hungarian,3
latin,2
latin,1
latin,1
hungarian,5
latin,1
hungarian,11
german,9
hungarian,1
hungarian,2
hungarian,8
hungarian,1
hungarian,3
hungarian,30
hungarian,1
hungarian,1
latin,1
hungarian,1
latin,1
hungarian,11
hungarian,3
hungarian,26
latin,1
latin,1
latin,1
latin,13
latin,29
german,1
latin,1
hungarian,1
hungarian,1
hungarian,3
hungarian,2
latin,1
latin,1
latin,8
hungarian,1
hungarian,1
hungarian,1
hungarian,1
hungarian,3
hungarian,8
hungarian,1
hungarian,2
hungarian,8
german,1
hungarian,1
hungarian,27
german,2
latin,1
latin,2
latin,2
german,1
hungarian,1
hungarian,32
hungarian,12
latin,6
latin,2
latin,2
latin,1
german,1
hungarian,13
latin,2
latin,3
german,1
latin,4
hungarian,1
hungarian,1
hungarian,2
hungarian,23
hungarian,1
latin,1
hungarian,1
hungarian,1
hungarian,1
hungarian,3
hungarian,14
hungarian,2
latin,1
latin,1
latin,1
german,1
latin,1
latin,1
latin,1
german,1
german,3
german,1
hungarian,4
latin,1
hungarian,1
hungarian,1
latin,7
hungarian,8
hungarian,71
hungarian,2
hungarian,2
hungarian,6
hungarian,10
hungarian,9
hungarian,1
hungarian,1
hungarian,1
hungarian,1
hungarian,30
latin,30
hungarian,1
hungarian,3
hungarian,1
hungarian,2
hungarian,1
hungarian,3
hungarian,2
latin,1
hungarian,6
hungarian,1
hungarian,2
hungarian,1
hungarian,3
hungarian,4
hungarian,3
hungarian,4
latin,3
latin,1
hungarian,13
german,1
latin,1
latin,1
latin,3
hungarian,1
latin,8
hungarian,2
hungarian,3
latin,27
hungarian,10
hungarian,1
latin,2
latin,1
hungarian,6
hungarian,4
hungarian,4
hungarian,7
latin,1
latin,2
hungarian,5
latin,1
latin,2
latin,11
latin,2
german,4
hungarian,1
german,3
hungarian,7
hungarian,22
hungarian,1
hungarian,1
latin,1
latin,1
hungarian,2
hungarian,1
latin,1
hungarian,1
hungarian,1
hungarian,3
hungarian,2
hungarian,58
latin,5
hungarian,11
hungarian,2
hungarian,1
hungarian,1
latin,1
latin,1
hungarian,1
latin,1
hungarian,2
hungarian,1
hungarian,23
hungarian,1
hungarian,1
hungarian,1
hungarian,13
hungarian,20
hungarian,1
german,1
latin,3
latin,1
hungarian,1
hungarian,1
hungarian,1
hungarian,6
hungarian,4
hungarian,1
hungarian,1
latin,2
hungarian,1
latin,1
latin,67
hungarian,1
hungarian,2
hungarian,1
hungarian,2
hungarian,5
hungarian,3
hungarian,2
hungarian,9
latin,1
latin,1
latin,1
german,1
german,1
hungarian,1
latin,1
hungarian,1
latin,1
hungarian,1
latin,1
hungarian,54
hungarian,37
latin,1
hungarian,1
hungarian,1
hungarian,4
latin,1
hungarian,4
hungarian,2
hungarian,3
latin,1
latin,2
hungarian,1
hungarian,2
latin,1
hungarian,1
hungarian,1
hungarian,120
hungarian,102
hungarian,1
latin,6
hungarian,5
hungarian,1
german,1
latin,20
hungarian,1
hungarian,16
hungarian,2
hungarian,1
hungarian,4
hungarian,1
hungarian,3
hungarian,7
hungarian,16
hungarian,3
hungarian,3
latin,1
latin,2
latin,1
hungarian,4
hungarian,5
hungarian,4
hungarian,3
latin,1
latin,1
latin,1
hungarian,1
german,1
hungarian,2
hungarian,12
latin,11
hungarian,6
hungarian,4
hungarian,1
hungarian,2
hungarian,13
hungarian,2
hungarian,1
latin,1
hungarian,1
hungarian,8
latin,5
latin,1
latin,3
latin,4
hungarian,4
hungarian,1
hungarian,17
hungarian,6
hungarian,1
hungarian,2
hungarian,5
latin,1
hungarian,2
hungarian,3
german,1
hungarian,1
latin,3
hungarian,17
hungarian,5
hungarian,2
hungarian,11
hungarian,2
latin,2
latin,6
latin,1
hungarian,5
hungarian,2
latin,1
hungarian,1
hungarian,1
hungarian,2
hungarian,2
latin,1
latin,1
latin,2
hungarian,1
latin,2
latin,2
hungarian,1
hungarian,20
hungarian,2
latin,1
latin,1
latin,20
hungarian,1
hungarian,7
hungarian,3
hungarian,2
hungarian,15
latin,2
hungarian,1
hungarian,3
hungarian,2
hungarian,40
hungarian,1
hungarian,66
hungarian,1
hungarian,4
hungarian,18
latin,1
hungarian,6
latin,18
hungarian,1
hungarian,5
latin,1
latin,3
latin,1
hungarian,134
latin,1
german,1
hungarian,1
latin,6
latin,3
latin,2
latin,2
hungarian,1
latin,1
hungarian,5
latin,38
hungarian,18
latin,10
hungarian,3
latin,2
hungarian,1
latin,1
hungarian,1
hungarian,3
latin,1
latin,1
hungarian,25
german,1
latin,1
hungarian,9
latin,1
latin,1
hungarian,8
latin,3
hungarian,6
latin,1
latin,1
latin,39
latin,1
hungarian,16
hungarian,5
hungarian,6
latin,1
hungarian,2
hungarian,15
latin,1
latin,2
german,1
latin,1
